Debate Chatbots DE 2
Zeitstempel,"Was interessiert Sie am meisten an politischen Debatten, wie zum Beispiel SRF Arena?",Was gefällt Ihnen nicht an politischen Debatten? (Wenn überhaupt etwas),Wie möchten Sie am liebsten an einer interaktiven Chatbot-Debatte teilnehmen?,"Welche Art von Unterstützung würden Sie sich von dem System wünschen, um dir die Teilnahme zu erleichtern?",Wie stark sollte die Debatte von einer unabhängigen Partei moderiert werden?,Wieso bevorzugen Sie diese Form? (aus der vorherigen Frage),"Wie lange sollte eine Debattenrunde dauern, bevor Sie das Interesse daran verlieren würden?","Was sollte in der Debatte geschehen, dass Sie sie spannend finden?","Wie wichtig sind Ihnen audiovisuelle Elemente (z.B. Videos, Diagramme, Audiokommentare) in einer Chatbot-Debatte?",Welche visuellen Elemente würden Ihnen für das Design der Debatte mit Chatbots am besten gefallen?,"Wie sollte die Debatte beginnen? (z.B. mit einer kurzen Einführung zu den einzelnen Chatbots, direkt in die Debatte einsteigen)",Wie deutlich sollten Chatbots ihre Perspektiven oder Rollen identifizieren?,"Wie hilfreich wären für Sie gelegentliche Zusammenfassungen während der Debatte (z. B. „Chatbot A argumentiert für X, Chatbot B ist aufgrund von Y anderer Meinung”)?","Wie hilfreich wäre es für Sie, am Ende eine Zusammenfassung zu haben (z. B. mit Lernpunkten)?","Welche Vorteile sehen Sie, wenn Sie mit einer Chatbot-Debatte interagieren können, im Vergleich zu anderen Formaten?","Was könnte Sie davon abhalten, an einer Chatbot-Debatte teilzunehmen oder diese anzusehen?","Gibt es noch etwas, das Sie hinzufügen möchten, was Sie zuvor noch nicht konnten?",Wie alt sind Sie?,Was ist Ihr Geschlecht?,Was ist Ihr höchster Bildungsabschluss?,Was ist Ihre aktuelle berufliche Beschäftigung,Was ist Ihre politische Einstellung?
2025/10/24 5:58:35 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind",wenn die Debattierenden ihre Emotionen nicht kontrollieren können oder Argumente persönlich werden. V.a. in der SRF Arena unterbrechen sich die Teilnehmenden gegenseitig und es ist unmöglich eine ganze Episode zu schauen.,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,beschränkte Redezeiten bringen die Redenden dazu bei der Sache zu bleiben und sich nicht gegenseitig zu unterbrechen,5-10 Minuten,gute Moderation in dem die Debattierenden aufgefordert werden ihre Argumente gut zu begründen,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Generelle EInführung zum Thema und grober Umriss der Positionen,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Nicht wichtig – wäre eher zu viel Information,Etwas hilfreich,evtl. kann man Rückfragen stellen,nicht menschlich,,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Studierende,Eher Links
2025/10/24 6:38:19 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",-,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Weil einerseits wenn es zu strikt durchgesetzt wird wie der Flow draussen ist und es so nach Vortrag wirkt, aber wenn man gar keine Regeln durchsetzt ufert es aus und es kann vorkommen dass eine Partei dann zu viel redet",10-15 Minuten,-,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Helles, klares Design","Kurze Einführung, da wahrscheinlich nicht alle bereits vor informiert sind ","Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Ich gehe jetzt mal davon aus, dass man die Argumente nach lesen gehen könnte ","Keine Ahnung, wenn ich das Debatte Thema nicht spannend finde ",-,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Studierende,Eher Recht
2025/10/24 6:42:16 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind",Einander nicht aussprechen lassen und falls sie in einen beleidigenden Diskurs wechseln.,Beobachten und zuhören,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,"Eine zu klare Struktur engt ein, jedoch komplett keine Gesprächsführung kann zu unfairen Redezeiten führen. ",10-15 Minuten,"Verschiedene Argumente und auch, dass die jeweils andere Partei diese Argumente aufgreifen und vielleicht neu auslegen oder widersprechen. Eine Dynamik, nicht nur Argument eine Seite, Argument andere Seite, sondern aufeinander eingehen. ","Nett, aber nicht notwendig","Helles, klares Design",Kurze Einführung,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Chatbots ermöglichen eine dynamische Diskussion und da sie mit Lernmaterial gefüttert wurden, bringen sie nur Argumente, die tatsächlich schon mal irgendwo gesagt wurden. ",Dass es sich dabei um Chatbots handelt und nicht um echte Menschen. ,,18-24 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Eher Links
2025/10/24 7:28:54 PM MEZ,"Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",pberreprädentation rechter/liberaler perspektiven und unterrepäresentation (wenn überhaupt vorhandene) von linken und kapital kritischen perspektiven,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,beides ist wichtig meiner meinung nach für eine balancierte debatte,10-15 Minuten,,"Nett, aber nicht notwendig","Dunkles, fokussiertes Design",eine klare einführung wie sie normalerweise in debatten (wie arena zb) vorhanden sind,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"ich habe noch nie mit so einem format erfahrungen gemacht, ich würde gerne nach einer solchen interaktion ein urteil fällen",-,,18-24 Jahre,Weiblich,Sekundarschule,Studierende,Links
2025/10/24 7:36:19 PM MEZ,"Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)","Oft geben die Leute schlechte Argumente das nervt irgendwie, schickt doch Leute die sich auch wirklich mit dem Thema auskennen",Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Lose - freier Austausch ist wichtiger,Wär schade wenn ein gutes argument wegen Zeit gekürzt werden muss,10-15 Minuten,,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Einführung Thema ,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Etwas hilfreich,Man kann seine Frage einbringen ,Kein Interesse ,,18-24 Jahre,Weiblich,Sekundarschule,Studierende,Links
2025/10/25 10:09:48 AM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen)",,Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Lose - freier Austausch ist wichtiger,"Oftmals schweifen die Teilnehmer sehr vom Thema ab, eine Moderation könnte das verhindern. Ausserdem finde ich es wichtig, dass man sich an dir allgemeinen Verhaltensregeln während einer Debatte haltet, was durch eine Moderation gewährleistet werden kann. Diese kann dann ebenfalls auf falsche Informationen der Kandidaten aufmerksam machen.",5-10 Minuten,"Gute Argumentationen, die man auch logisch nachvollziehen kann.","Nett, aber nicht notwendig","Helles, klares Design",Ich denke eine kurze Einführung wäre nicht verkehrt.,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Ich denke es wäre spannend das Phänomen der KI in diesem Kontext beobachten zu können.,"Ich finde bei Debatten vor allem spannend, wie die verschiedenen Menschen auf ihre Weltansicht kommen, was bei einem Chatbot irrelevant ist.",,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Studierende,Eher Links
2025/10/25 2:08:20 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind","Dass einander nicht zugehört wird, sondern alle auf ihre Positionen bestehen. Es ist nicht konstruktiv.",Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Es sollte organisch wirken, aber ausgeglichen sein.",10-15 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Eine kurze Einführung macht Sinn,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Keine,What is the Point?,,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Studierende,Links
2025/10/25 9:33:08 AM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen)",,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, nach der Debatte eine Position zu wählen;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,"Struktur ist bei Debatten am wichtigsten, damit man zu einem Schluss kommt.",Mehr als 15 Minuten,,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Thema und Positionen zusammenfassen,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Man wird „gehört“ - in einer Debatte mit Menschen könnte es sein, dass die Meinung einer Zuschauer*in nicht ankommt oder gar nicht erst gefragt wird. ","Ich finde die starke Welle des AI in der heutigen Zeit sehr erschreckend und möchte grundsätzlich bei menschlichen Interaktionen bleiben, so weit es geht. Bereits auf vielen Gebieten der Gesellschaft treten AI-Systeme auf und ich persönlich würde es nicht unterstützen, künstliche Intelligenz einen Platz in der Politik zu überlassen, selbst wenn es „nur“ um eine Simulation möglicher Debatten wäre. ",,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Teilzeit beschäftigt,Links
2025/10/25 9:35:00 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Argumente von verschiedenen Seiten hören,Beobachten und zuhören,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Bringt Strucktur rein, man soll die Leute aber aucv mal reden lassen.",10-15 Minuten,Möglichst viele Gegenargumente,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Aktiv mitreden,Vertraune in die korrekten Angaben der AI,-,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Studierende,Eher Links
2025/10/23 3:01:22 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen)",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,Situationsangemessen,10-15 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole",mit kurzer Einführung,Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Abgestimmt auf mich,Unübersichtlichkeit ,,25-34 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Eher Links
2025/10/23 3:47:38 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden","persönliche Angriffe, Falschinformationen",Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,Flexibiltät bei der Auswahl der Debatten,5-10 Minuten,dass ich mir nach der Debatte ein klareres Bild zur Situation machen kann als vorher,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Minimalistisch und textbasiert,kurze Einführung in das Thema und die Representation der Chatbots,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Mehr Informationen auf spezifischere Themen, hoffentlich weniger auf einzelne Personen bezogen, was in politischen Debatten leider immer oft der Fall ist. ","Potentielle Falschinformationen von Chatbots zu kriegen, die die Situationen nicht korrekt beschreiben",,25-34 Jahre,Weiblich,Bachelor-Abschluss,Studierende + Teilzeibeschäftigt,Eher Links
2025/10/23 4:28:47 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren",Eine Mischung aus beidem,Es braucht eine gewisse Struktur aber es sollte trotzdem Freiheit herrschen.,10-15 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung wäre gut,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Es wirkt interessanter und könte evtl. auch verstädnlicher sein.,"Unnötige Wiederholungen von Informationen oder Argumenten sollten vermieden werden, um es nicht langweilig zu machen. Es sollten möglichst nur echte Fakten genannt werden und nicht Dinge erfunden werden, was öfters der Fall ist bei KI.",,25-34 Jahre,Weiblich,Bachelor-Abschluss,Studierende + Teilzeit beschäftigt,
2025/10/23 5:15:16 PM MEZ,Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden,oft werden Fakten verdreht & unwahre Argumente vorgebracht,Beobachten und zuhören,"Das System fordert auf, nach der Debatte eine Position zu wählen;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,"Ansonsten verzettelt man sich & es wird nicht der Fokus auf gute und fundierte, aber auch auf den Punkt gebrachte Argumente gelegt.",5-10 Minuten,"Neue Gedankenanstösse, die ich mir selbst noch nicht gemacht habe",Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole",kurze Einführung zu den Chatbots,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,ist übersichtlich und weniger emotional,In meinem Kopf ist es noch sehr abstrakt,,25-34 Jahre,Weiblich,Master-Abschluss,Vollzeit beschäftigt,Eher Links
2025/10/23 7:50:21 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Wenn die Parteien nicht kompromissbereit oder diskussionsbereit sind und stur auf ihrer Meinung beharren (z.T. ohne statistische Nachweise etc.),Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,Damit es einen Redefluss gibt der trotzdem begrenzt ist.,Mehr als 15 Minuten,"Immer neue Argumente und Sichtweisen eingeben, nicht immer auf dem gleichen beharren und rumdiskutieren...",Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Die Darstellungen der Erklärungsvideos bei der Arena finde ich passend. Klar, Minimalistisch und einfach erklärt.",Mit einer Einführung - kleiner Monolog der Standpunkte beider Seiten. ,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Anonymität (Nicht für mich persönlich, aber ich denke andere, welche z.b. introvertiert oder scheu sind, würden davon profitieren, um sich trotzdem an Debatten zu beteiligen)","Uninteressantes Thema, Zu wenig Mensch zu Mensch",Viel Chraft bim d Bachelorarbeit schriebe <3 du packsch das!,25-34 Jahre,Weiblich,Master-Abschluss,Studierende,Mitte
2025/10/23 8:59:33 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,Damit die Diskussion nicht in einer Kleinigkeit aufgehängt wird,10-15 Minuten,,"Nett, aber nicht notwendig","Helles, klares Design",Einführung,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Bleibt sachlich, Fakten basiert","Liefert mir keine Fakten, argumentiert nicht sachlich",,25-34 Jahre,Weiblich,Bachelor-Abschluss,Vollzeit beschäftigt,Rechts
2025/10/23 9:04:54 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Beobachten und zuhören,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,"Es muss reguliert werden wegen unangebrachten Kommentaren, aber auch nicht zu sehr kontrolliert",5-10 Minuten,Kontroverse Standpunkte präsentieren,"Nett, aber nicht notwendig","Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole","Einführung, Erklärung","Überhaupt nicht, das würde zu vielen Vorurteilen führen.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Immer eine Antwort vorhanden,Keine Menschen dahinter,,25-34 Jahre,Weiblich,Master-Abschluss,Vollzeit beschäftigt,Mitte
2025/10/24 7:43:48 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,Es muss klare und feste Spielregeln geben. Jedoch müssen die Teilnehmer innerhalb der Regeln auch eine gewisse Freiheit haben.,10-15 Minuten,relevante und realitätsnahe Argumente,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Mit einer kurzen Einführung (ähnlich wie im Abstimmungsbüchlein),"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Man hat weniger Beeinflussung durch die Art oder Rethorik eines Menschen,Unsicherheit beim Wahrheitsgehalt,,25-34 Jahre,Weiblich,Lehre/ Ausbildung,Teilzeit beschäftigt,Mitte
2025/10/24 8:20:57 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Wenn die Teilnehmer vom Thema abschweifen und persönlich werden,Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, nach der Debatte eine Position zu wählen",Stark - klare Redezeiten und Themen sind wichtiger,Das es sonst oft unstrukturiert wird und es schwieriger ist zum Zuhören,10-15 Minuten,Nennung von klaren Argumenten von beiden Seiten. Eingehen auf die Argumente des Gegenüber.,"Nett, aber nicht notwendig","Helles, klares Design",Mit einem kurzem Hintergrund zum Thema,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Nicht wichtig – wäre eher zu viel Information,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Möglichkeit individuell auf mich einzugehen. Ich kann mitwirken und mitbestimmen.,Falls eine politische Seite stärker vertreten ist,Spannende Studie! Viel Erfolg :) ,25-34 Jahre,Weiblich,Master-Abschluss,Arbeitslos,Eher Links
2025/10/25 9:54:32 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Lose - freier Austausch ist wichtiger,Mich würde interessieren wie der Bot auf meine Kommentare reagiert losgelöst von einer moderierenden Instanz,5-10 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Überblick über das Thema und kurzer Standpunkt beider Parteien,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Ich kann vielleicht Inputs einbringen und das Gespräch in eine Richtung lenken oder zu wichtigen Punkten zurückkehren,Wenn mich das Thema nicht interessiert oder der Zugang erschwert ist - sich einloggen auf einer Website Thema wählen etc. vs. es erscheint einfach auf Tiktok Feed,,25-34 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Eher Links
2025/10/26 10:00:41 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden","Mir gefällt nicht, wenn Teilnehmer bei Debatten persönlich angegriffen werden oder mit Vorwürfen belastet werden, welche nicht stimmen.",Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, nach der Debatte eine Position zu wählen",Eine Mischung aus beidem,"Ich finde es wichtig, dass alle zu Wort kommen, aber gleichzeitig auch ein mehr oder weniger natürlicher Dialog zu Stande kommt.",10-15 Minuten,"Viele verschiedene Argumente, verschiedene Sichtweisen.","Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung verschiedener Positionen,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Es könnte sachlicher und weniger persönlich sein.,"Unsicherheit, ob alles stimmt",Coole Idee :),25-34 Jahre,Weiblich,Bachelor-Abschluss,Teilzeit beschäftigt,Mitte
2025/10/25 6:28:27 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, nach der Debatte eine Position zu wählen",Eine Mischung aus beidem,Klare Leitplanken mit Möglichkeiten einen freien Austausch innerhalb der Leitplanken zu führen.,10-15 Minuten,Darstellung verschiedener Interessensgruppen,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung ins Thema,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Etwas hilfreich,"Möglicherweise fühlt es sich etwas anonymer an, was einige als Vorteil sehen. ",Wenn es zu lange dauert.,,45-54 Jahre,Weiblich,Lehre/ Ausbildung,Teilzeit beschäftigt,Eher Links
2025/10/25 7:33:44 PM MEZ,Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden,Wenn die Debatten persönlich werden ,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,Damit die Debatten sachlich bleiben und auf den Punkt kommen ,10-15 Minuten,"Es braucht unterschiedliche Standpunkte, die engagiert vertreten werden ","Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Thema und Standpunkte der Chatbots sollten kurz zusammengefasst werden ,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Etwas hilfreich,"Ich kann herausfinden, wie Chatbots argumentieren ",Langweilige Themen ,Nein,45-54 Jahre,Weiblich,Master-Abschluss,Vollzeit beschäftigt,Eher Links
2025/10/26 12:39:25 PM MEZ,"Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",Die Unterschiede der Meinungen zu sehen,Ab und zu kommentieren und Fragen stellen,Keine aktive Unterstützung durch das System,Stark - klare Redezeiten und Themen sind wichtiger,Fairness für alle Seiten,10-15 Minuten,,"Nett, aber nicht notwendig","Helles, klares Design",Direkter Einstieg,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Nicht wichtig – wäre eher zu viel Information,Nicht wichtig,Keine,Einseitigkeit,,45-54 Jahre,Weiblich,Bachelor-Abschluss,Vollzeit beschäftigt,Ich möchte mich dazu nicht äussern
